alpha,lambda,cvm,cvsd,thresh
0.25,0.000744680457926104,0.522044765989962,0.29856316845351,1e-04
0.25,0.000617074079546583,0.529387880952316,0.304686248837831,1e-04
0.25,0.000511333976332233,0.534291041638419,0.309292323387881,1e-04
0.25,0.000423713204002753,0.541857900106075,0.316257576444955,1e-04
0.25,0.000351106884259984,0.54588828562901,0.319149082597703,1e-04
0.25,0.000290942182141562,0.549706374168889,0.322205975850422,1e-04
0.25,0.000241087136550176,0.55353373056001,0.325316039492335,1e-04
0.25,0.000199775113330534,0.557789338415034,0.328447240528168,1e-04
0.25,0.000165542203857573,0.562236536636976,0.33159070383505,1e-04
0.25,0.000137175350829014,0.56634683354214,0.334744824363808,1e-04
0.25,0.000113669363078269,0.57036501450886,0.337839566130934,1e-04
0.25,9.41912962098024e-05,0.574307685956783,0.340846866084162,1e-04
0.25,7.80509368700676e-05,0.578238659606831,0.343809461331982,1e-04
0.25,6.46763447519187e-05,0.580648791982089,0.345369612355143,1e-04
0.5,0.323381723759593,0.7885917711375,0.119178678332753,1e-04
0.5,0.267967928266677,0.754702985250875,0.121785275414446,1e-04
0.5,0.222049687115024,0.703546491500175,0.123753551220814,1e-04
0.5,0.183999868442509,0.658696285251391,0.127864346570652,1e-04
0.5,0.152470161191098,0.623951748855925,0.13320745964324,1e-04
0.5,0.126343297146992,0.597119343338846,0.139136029009042,1e-04
0.5,0.104693460079487,0.575480710069946,0.145037750577724,1e-04
0.5,0.086753479060017,0.559534097965483,0.150368721884927,1e-04
0.5,0.0718876434430833,0.547782646809953,0.1551817664636,1e-04
0.5,0.0595691761966654,0.53873339779929,0.159132779423615,1e-04
0.5,0.0493615673402741,0.530534389626481,0.162956455893332,1e-04
0.5,0.040903106033298,0.518172208113502,0.167447006505414,1e-04
0.5,0.0338940632018012,0.507576515854358,0.174466600831916,1e-04
0.5,0.0280860705148525,0.503501991931552,0.184341191468119,1e-04
0.5,0.0232733193500195,0.502953856804512,0.194448004388512,1e-04
0.5,0.0192852678797328,0.501597316126051,0.202856271116918,1e-04
0.5,0.0159805978511072,0.496505434017875,0.20956483014455,1e-04
0.5,0.013242206915217,0.4915848798157,0.215310220080469,1e-04
0.5,0.0109730590569409,0.486390108660772,0.219829768294476,1e-04
0.5,0.00909274608364174,0.47925542381548,0.222345004688683,1e-04
0.5,0.00753463832761246,0.471657625610088,0.224328843878102,1e-04
0.5,0.00624352359624997,0.466058927420067,0.227467725274506,1e-04
0.5,0.00517365070518023,0.462819227203228,0.231162763065786,1e-04
0.5,0.00428710826612214,0.461538261011525,0.235384592433036,1e-04
0.5,0.00355248128116769,0.46348757945072,0.240479428845257,1e-04
0.5,0.00294373793934115,0.467190478527961,0.245585551851398,1e-04
0.5,0.00243930716861319,0.472940063759292,0.252614842639523,1e-04
0.5,0.00202131425604394,0.480584035908678,0.260300051682002,1e-04
0.5,0.00167494744993896,0.48330637165126,0.265278036858744,1e-04
0.5,0.0013879330993033,0.492171143176969,0.272858856295749,1e-04
0.5,0.00115010073194348,0.501596386853894,0.281879342032604,1e-04
0.5,0.000953022659579849,0.510640624441612,0.289547429627931,1e-04
0.5,0.000789715339227592,0.51948276071163,0.29744271700312,1e-04
0.5,0.00065439190846343,0.524246442261784,0.301530312558152,1e-04
0.5,0.000542257125562805,0.530467205086422,0.307321349150955,1e-04
0.5,0.000449337448126574,0.539157151706625,0.313997863750846,1e-04
0.5,0.000372340228963052,0.547261238029873,0.320352287082648,1e-04
0.5,0.000308537039773292,0.551458671457589,0.323116328692988,1e-04
0.5,0.000255666988166116,0.556489101312629,0.327749991498791,1e-04
0.5,0.000211856602001376,0.56351364323095,0.334391637519346,1e-04
0.5,0.000175553442129992,0.566946774463798,0.337071558239427,1e-04
0.5,0.000145471091070781,0.57039491923161,0.339784444413538,1e-04
0.5,0.000120543568275088,0.573779454811282,0.342410414874244,1e-04
